year,country,odds_open,odds_close
2026,Finland,,1.90346
2026,Australia,,4.422171
2026,Greece,,9.96815
2026,Israel,,12.627041
2026,Romania,,13.948751
2026,Denmark,,22.195028
2026,Bulgaria,,27.801994
2026,Italy,,33.638575
2026,France,,43.604405
2026,Malta,,45.824407
2026,Czech Republic,,76.120846
2026,Ukraine,,77.046225
2026,Moldova,,86.015023
2026,Sweden,,88.976069
2026,Croatia,,91.002276
2026,Albania,,126.108009
2026,Cyprus,,129.328245
2026,Norway,,179.284274
2026,Serbia,,244.943651
2026,Poland,,254.448809
2026,United Kingdom,,242.218577
2026,Lithuania,,282.787091
2026,Germany,,313.556072
2026,Belgium,,397.114906
2026,Austria,,454.956919
